Keterangan,bobot
error,336.001159676
reached.threshold,0.009330015
steps,342.000000000
aic,746.002319351
bic,907.751957699
Intercept.to.1layhid1,-4.834931256
at2Lag10.to.1layhid1,0.428748836
ut2Lag10.to.1layhid1,5.575928042
Intercept.to.1layhid2,-0.812254536
at2Lag10.to.1layhid2,-1.987259449
ut2Lag10.to.1layhid2,6.951640134
Intercept.to.1layhid3,-3.721959757
at2Lag10.to.1layhid3,1.239971401
ut2Lag10.to.1layhid3,0.853739093
Intercept.to.1layhid4,2.505371655
at2Lag10.to.1layhid4,0.369785546
ut2Lag10.to.1layhid4,-6.335902189
Intercept.to.1layhid5,-3.081475891
at2Lag10.to.1layhid5,-1.622531167
ut2Lag10.to.1layhid5,8.476516527
Intercept.to.1layhid6,3.779685348
at2Lag10.to.1layhid6,-0.022063653
ut2Lag10.to.1layhid6,-6.247140292
Intercept.to.1layhid7,-1.837849878
at2Lag10.to.1layhid7,2.125066247
ut2Lag10.to.1layhid7,-3.602454728
Intercept.to.1layhid8,3.353125958
at2Lag10.to.1layhid8,-0.159251874
ut2Lag10.to.1layhid8,-4.928281358
Intercept.to.1layhid9,2.944355253
at2Lag10.to.1layhid9,-3.773508767
ut2Lag10.to.1layhid9,10.299769382
Intercept.to.y,1.639017855
1layhid1.to.y,22.344286997
1layhid2.to.y,-19.403184299
1layhid3.to.y,9.175934977
1layhid4.to.y,-23.285572688
1layhid5.to.y,-25.219979878
1layhid6.to.y,-22.395059001
1layhid7.to.y,3.905569100
1layhid8.to.y,-19.432941497
1layhid9.to.y,-26.500948242